Training Iterations; Lorentz , DerivLorentz , Sigmoid , Tanh , ReLU
0.0;3.9126257386060486,0.9059014430243739,0.11828021279911112
100.0;2.641893171163354,0.18012780870764475,0.1000386389696271
200.0;2.020461102924103,0.17852704972441152,0.10000264588827261
300.0;1.5831145340354835,0.1776379209646688,0.09996392135127839
400.0;1.3248155712114686,0.17692296585558007,0.09989170076552156
500.0;1.187282421070455,0.17632259305179687,0.0997229458550353
600.0;1.103326964942029,0.17580530214859433,0.09934582900842617
700.0;1.0429741425122108,0.17535077510599997,0.09871552902855125
800.0;0.993481039546606,0.1749452393509529,0.09803502872492192
900.0;0.9507710314438104,0.17457900793512363,0.09735527527325001
1000.0;0.9149627748176032,0.17424503665896696,0.0959602039515196
1100.0;0.8862637741837022,0.17393804881772637,0.09082449620702521
1200.0;0.8637900918829884,0.17365398763010526,0.06824965587865142
1300.0;0.8462225397927396,0.17338966305680403,0.027508746098230574
1400.0;0.8323416000544539,0.1731425172685746,0.01054149147110654
1500.0;0.8211832977933214,0.17291046460511741,0.0052850466464603625
1600.0;0.812026951557763,0.17269177957909868,0.003163080404566061
1700.0;0.8043361393226249,0.1724850166652498,0.0021094269475548403
1800.0;0.7976953290498199,0.17228895162259045,0.0015103775398537045
1900.0;0.7917522566842691,0.1721025377304757,0.001136692617195684
2000.0;0.786165801278889,0.17192487256805572,0.0008874478202669305
2100.0;0.7805616250524945,0.17175517239046795,0.0007126096197743717
2200.0;0.774513994095242,0.171592752075646,0.0005850615914539407
2300.0;0.7676001101848193,0.17143700922283278,0.0004890536428503352
2400.0;0.7595756185548244,0.17128741139196108,0.000414917126400425
2500.0;0.7506122629454332,0.17114348575220523,0.0003564422396631269
2600.0;0.7413557988109879,0.17100481060212264,0.0003094879043955132
2700.0;0.7326313032082661,0.17087100836092167,0.00027120358406558016
2800.0;0.7250294031845462,0.1707417397286536,0.00023957316589869434
2900.0;0.7187429365011369,0.17061669878451813,0.00021313691105937435
3000.0;0.713676730046904,0.1704956088450002,0.00019081610820011923
